CHALONS-EN-CHAMPAGNE,+15.40,10.34
GRENOBLE,+12.16,14.30
RENNES,+11.86,12.83
LAVAL,+11.23,8.77
SALON-DE-PROVENCE,+9.92,12.89
CASTRES,+9.75,8.04
LECANNET,+9.02,16.06
ISSY-LES-MOULINEAUX,+8.58,21.94
TOULON,+7.42,11.50
QUIMPER,+5.95,9.07
LILLE,+5.57,12.95
AUXERRE,+5.06,10.31
ANTIBES,+4.86,18.13
STRASBOURG,+4.48,11.46
METZ,+4.45,9.32
ORLEANS,+4.38,10.60
DIJON,+4.22,11.04
DOUAI,+3.96,9.88
CLERMONT-FERRAND,+3.79,11.96
BORDEAUX,+3.78,11.95
ASNIERES-SUR-SEINE,+3.70,18.93
VILLEFRANCHE-SUR-SAONE,+3.49,9.21
LEMANS,+3.40,10.01
CALUIRE-ET-CUIRE,+3.24,10.54
MARSEILLE,+3.22,12.72
LYON,+3.02,11.22
BOURGES,+2.91,9.81
REIMS,+2.86,10.75
NANTES,+2.82,13.29
BREST,+2.78,8.89
ANGERS,+2.63,10.81
VILLEURBANNE,+2.59,10.44
AIX-EN-PROVENCE,+2.58,17.26
BESANCON,+2.20,9.71
MEUDON,+2.13,19.14
PUTEAUX,+1.90,20.01
LEVALLOIS-PERRET,+1.86,23.71
TOULOUSE,+1.86,12.98
CANNES,+1.82,16.91
NANCY,+1.79,9.86
MONTPELLIER,+1.65,13.69
COURBEVOIE,+1.49,20.16
PARIS,+1.04,26.72
MEAUX,+0.76,13.85
ARRAS,+0.54,10.05
SAINT-MAUR-DES-FOSSES,+0.51,17.71
SAINT-ETIENNE,+0.28,6.60
PERPIGNAN,+0.27,9.48
SURESNES,+0.13,20.25
LAROCHELLE,+0.13,12.41
CHALON-SUR-SAONE,-0.11,8.34
TOURS,-0.39,10.36
POITIERS,-0.53,9.62
SAINT-GERMAIN-EN-LAYE,-0.54,19.45
SAINT-BRIEUC,-0.86,9.12
VINCENNES,-1.24,20.58
RUEIL-MALMAISON,-1.43,18.14
LIMOGES,-1.62,9.30
MONTAUBAN,-1.81,8.44
AGEN,-1.82,8.80
NIMES,-2.02,9.72
NICE,-2.17,14.80
NEUILLY-SUR-SEINE,-2.29,26.25
ROUEN,-2.51,12.71
BOULOGNE-BILLANCOURT,-2.98,22.42
CARCASSONNE,-3.25,8.04
MAISONS-ALFORT,-3.28,17.68
AMIENS,-3.32,12.73
VERSAILLES,-3.40,18.04
MELUN,-3.58,13.66
BEZIERS,-4.05,9.11
VIENNE,-4.26,8.31
MONTROUGE,-4.30,18.10
AVIGNON,-4.36,10.99
COLOMBES,-5.35,17.03
MULHOUSE,-7.51,8.46
