MONTLUCON,+28.24,1451.74
VAULX-EN-VELIN,+18.16,2340.91
ANGOULEME,+15.04,1669.26
MARCQ-EN-BAROEUL,+13.03,3044.74
SAINT-ETIENNE,+9.11,1879.06
CAEN,+9.06,2687.87
MONTELIMAR,+8.17,2041.26
LEHAVRE,+5.70,2666.56
BAYONNE,+5.07,3318.47
GAGNY,+5.04,3328.11
ARRAS,+5.01,2616.89
TOURCOING,+4.75,2431.18
SAINT-BRIEUC,+4.72,1603.33
BONDY,+4.68,3220.71
LEPERREUX-SUR-MARNE,+4.52,4543.82
MONTREUIL,+4.28,3957.46
CHOLET,+4.27,1575.00
BRON,+4.11,2605.64
ARGENTEUIL,+3.84,3054.79
HOUILLES,+3.81,3813.08
BOULOGNE-BILLANCOURT,+3.80,6426.89
PLAISIR,+3.66,3064.23
MELUN,+3.62,2936.88
MEUDON,+3.36,5441.81
MEAUX,+3.29,2969.27
SARCELLES,+3.28,2245.91
ROMANS-SUR-ISERE,+2.98,1754.65
CHELLES,+2.95,3209.30
CHATENAY-MALABRY,+2.86,4176.04
CANNES,+2.85,5615.71
DRANCY,+2.81,3426.19
FRANCONVILLE,+2.76,3077.76
ROUBAIX,+2.75,2194.00
LIVRY-GARGAN,+2.72,3248.04
BRIVE-LA-GAILLARDE,+2.70,1897.20
SAINTE-GENEVIEVE-DES-BOIS,+2.55,3087.41
BAGNOLET,+2.52,3771.40
LACIOTAT,+2.51,4821.55
NIMES,+2.26,2388.65
SAINT-OUEN,+2.16,4089.13
TROYES,+2.13,1742.63
DREUX,+2.05,2067.57
AMIENS,+1.98,2423.04
CERGY,+1.91,2907.35
HYERES,+1.90,3891.01
LECANNET,+1.88,4064.22
TOULON,+1.87,3026.87
RUEIL-MALMAISON,+1.82,4924.76
BOBIGNY,+1.77,3403.23
NEUILLY-SUR-MARNE,+1.77,2955.21
BIARRITZ,+1.75,4574.18
QUIMPER,+1.73,1740.71
POISSY,+1.71,3565.23
SAINT-RAPHAEL,+1.65,4667.19
SALON-DE-PROVENCE,+1.63,2649.37
TOURS,+1.61,2555.89
ORLEANS,+1.59,2384.98
BEZIERS,+1.57,1818.89
BESANCON,+1.53,2073.26
ARLES,+1.50,2391.03
ISSY-LES-MOULINEAUX,+1.49,5797.02
SETE,+1.44,2879.43
TREMBLAY-EN-FRANCE,+1.43,2771.74
MARTIGUES,+1.35,2723.63
PARIS,+1.31,7950.91
AGEN,+1.30,1745.31
SAINT-MALO,+1.30,3401.30
BOURGES,+1.28,1785.29
ANGLET,+1.23,3751.45
MACON,+1.21,1767.09
ANTIBES,+1.20,4686.14
BELFORT,+1.18,1694.25
SAINT-DENIS,+1.17,3274.95
LEVALLOIS-PERRET,+1.13,6617.74
VITRY-SUR-SEINE,+1.11,3313.50
VILLEPINTE,+1.08,2550.00
AUBERVILLIERS,+1.07,3304.28
